"???? ??????,??? ???????????,""??????, ??."",?????,????? ????,??????,???????,????????,????????"
"04/04/2024,MTLR ,28 869,""956 281 108,57"",285.29,287.44,283.5,288.38,284"
"04/03/2024,MTLR ,46 582,""1 616 089 439,07"",285.23,286,282.13,289.84,288"
"04/02/2024,MTLR ,43 449,""1 849 677 904,61"",286.45,289.87,282.5,290.3,284.9"
"04/01/2024,MTLR ,58 409,""2 375 560 028,07"",283.95,278.44,278.05,288.9,287"
"03/29/2024,MTLR ,27 962,""981 676 174,81"",277.16,276.49,275.16,278.95,277.8"
"03/28/2024,MTLR ,41 489,""1 420 072 334,62"",275.66,277.99,273.6,278.03,275.7"
"03/27/2024,MTLR ,35 820,""1 226 063 140,34"",278.32,279.5,275.8,282.11,276.28"
"03/26/2024,MTLR ,32 439,""1 143 299 030,62"",279.58,280,277.1,282.43,278.4"
"03/25/2024,MTLR ,66 309,""2 453 623 341,24"",278.1,279.59,274.22,281.99,279.49"
"03/22/2024,MTLR ,49 177,""2 238 994 796,16"",282.29,287.6,276.24,288.9,283.8"
"03/21/2024,MTLR ,45 058,""1 995 333 121,15"",285.9,287.01,283.02,289.09,288.45"
"03/20/2024,MTLR ,63 545,""2 782 921 518,96"",289.66,294.92,285.12,296.31,286.94"
"03/19/2024,MTLR ,70 599,""3 431 071 572,33"",294.41,290.6,289.55,297.8,293.19"
"03/18/2024,MTLR ,43 116,""1 602 800 623,11"",291.49,293.8,288.2,294.77,290.5"
"03/15/2024,MTLR ,46 183,""1 686 247 746,4"",294.27,295,291.1,297.71,293.16"
"03/14/2024,MTLR ,82 248,""3 852 132 962,28"",293.85,294.64,289.21,297.28,294.67"
"03/13/2024,MTLR ,102 910,""4 425 520 505,78"",298.34,301,293.07,303.99,294.5"
"03/12/2024,MTLR ,147 112,""6 645 125 086,29"",296.71,290.28,288.05,303.49,299.31"
"03/11/2024,MTLR ,65 092,""2 111 705 723,78"",285.72,282,282,291.99,286.4"
"03/07/2024,MTLR ,44 776,""1 238 796 852,22"",281.76,281.86,280.12,283.88,281.25"
"03/06/2024,MTLR ,44 419,""1 302 199 118,43"",282.79,284.4,281.35,284.75,282.02"
"03/05/2024,MTLR ,43 471,""1 484 446 214,1"",284.91,287.8,283.21,288,284.35"
"03/04/2024,MTLR ,89 325,""3 614 985 567,21"",284.77,281.1,279.67,287.48,284"
"03/01/2024,MTLR ,68 913,""2 563 793 417,5"",275.45,272,271.16,279.74,277.02"
"02/29/2024,MTLR ,78 359,""2 812 161 953,14"",274.81,278.75,270.31,278.8,275.16"
"02/28/2024,MTLR ,63 436,""2 608 360 174,5"",280.22,281.41,277,282.98,280.5"
"02/27/2024,MTLR ,115 430,""5 377 876 411,77"",283.22,281,278.21,288.69,280.32"
"02/26/2024,MTLR ,143 089,""5 748 055 834,92"",273.59,266.6,262.4,280.47,279.57"
"02/22/2024,MTLR ,149 290,""8 768 782 488,8"",276.59,282.5,270.5,285.67,276.1"
"02/21/2024,MTLR ,196 684,""9 771 596 995,95"",290.23,305.38,276.33,307.94,281.3"
"02/20/2024,MTLR ,92 071,""4 383 731 129,5"",311.43,313.3,305.06,316.5,313.52"
"02/19/2024,MTLR ,49 863,""1 787 212 276,31"",312.74,311.2,308.76,315.38,313.1"
"02/16/2024,MTLR ,53 503,""2 066 553 063,16"",312.75,315.3,309.5,316.2,311.76"
"02/15/2024,MTLR ,45 014,""1 750 005 245,65"",314.89,317.45,313.17,317.45,314.37"
"02/14/2024,MTLR ,33 201,""1 441 670 518,1"",319.08,319,317.01,321.35,318.49"
"02/13/2024,MTLR ,40 468,""1 646 612 988,74"",317.58,315.86,314.6,319.9,317.1"
"02/12/2024,MTLR ,49 543,""1 715 077 571,59"",315.95,315.5,312.67,319.29,314.3"
"02/09/2024,MTLR ,85 593,""3 023 573 591,33"",315.15,316.8,312,318.24,315.61"
"02/08/2024,MTLR ,80 909,""3 393 848 896,17"",321.64,321.99,317.15,325.79,317.2"
"02/07/2024,MTLR ,65 545,""2 533 876 787,37"",321.71,323,319.2,325.99,321.12"
"02/06/2024,MTLR ,68 942,""3 075 733 523,39"",325.35,329.2,322.1,329.57,324.3"
"02/05/2024,MTLR ,92 618,""5 089 067 212,33"",325.39,319.5,319,329,327.62"
"02/02/2024,MTLR ,60 398,""2 947 216 112,54"",317.3,317.55,313.4,320.8,319.1"
"02/01/2024,MTLR ,69 465,""2 937 362 515,95"",318.91,320.05,315.7,322.35,317.33"
"01/31/2024,MTLR ,121 582,""6 774 280 003,83"",319.27,315.32,314.5,322.42,319.07"
"01/30/2024,MTLR ,128 110,""5 568 037 376,55"",307.74,298,295.66,314.85,314"
"01/29/2024,MTLR ,69 758,""2 127 604 278,87"",299.37,302.53,297.3,303.59,298.35"
"01/26/2024,MTLR ,56 051,""2 250 162 440,26"",303.12,305,300.8,306.78,302.27"
"01/25/2024,MTLR ,102 782,""4 273 836 095,26"",298.64,296.03,291.6,304.67,303.1"
"01/24/2024,MTLR ,127 825,""5 513 528 170,48"",301.06,305.61,295.66,309.74,298.9"
"01/23/2024,MTLR ,88 412,""3 328 103 559,05"",306.68,309.9,304.1,309.9,305.42"
"01/22/2024,MTLR ,73 429,""2 732 273 143,74"",314.5,318.8,310.57,319.68,311.6"
"01/19/2024,MTLR ,48 101,""1 717 183 789,37"",316.67,317.85,315.04,319,316"
"01/18/2024,MTLR ,45 521,""1 628 244 885,14"",319.43,321,317.11,322.3,319.42"
"01/17/2024,MTLR ,61 496,""2 799 588 128,55"",323.05,322.29,319.42,326.43,322.4"
"01/16/2024,MTLR ,66 869,""2 852 459 607,49"",318.48,316,313.6,323.59,322.93"
"01/15/2024,MTLR ,54 929,""1 892 973 480,11"",316.42,318.3,314.52,319.9,314.75"
"01/12/2024,MTLR ,69 241,""2 747 167 734,06"",319.43,322.4,315.6,323.75,317.12"
"01/11/2024,MTLR ,71 178,""3 555 732 120,54"",322.61,325.4,318.6,326.9,324.4"
"01/10/2024,MTLR ,110 011,""2 670 642 013,58"",328.65,333,324.33,333.71,325.1"
"01/09/2024,MTLR ,60 941,""2 641 464 138,48"",328.98,328,324.22,333.54,332.1"
"01/08/2024,MTLR ,112 755,""4 222 663 733,64"",329.18,328.99,323.57,334.28,326.98"
"01/05/2024,MTLR ,27 840,""1 204 347 798,29"",326.97,328,325,328.49,326.88"
"01/04/2024,MTLR ,74 690,""3 317 989 885,19"",326.07,327.68,323.1,329.39,326.58"
"01/03/2024,MTLR ,92 618,""3 991 271 026,42"",321.11,311.03,311.03,326.74,324.44"
"12/29/2023,MTLR ,31 166,""1 275 935 457,73"",310.95,312,308.88,313,311.39"
"12/28/2023,MTLR ,42 741,""1 680 495 943,12"",309.3,309,306.61,312.33,310.61"
"12/27/2023,MTLR ,44 233,""1 730 180 407,79"",310.53,312.5,309.1,313.74,310.1"
"12/26/2023,MTLR ,55 792,""2 483 235 673,41"",310.62,311.37,306.72,314.2,312.53"
"12/25/2023,MTLR ,96 426,""4 870 992 236,6"",312.87,313.9,307.9,317.83,310.17"
"12/22/2023,MTLR ,143 222,""7 803 316 377,72"",307.4,302.74,299.28,313,310.9"
"12/21/2023,MTLR ,120 418,""6 066 461 889,69"",294.18,290.6,285.69,303.75,299.48"
"12/20/2023,MTLR ,63 853,""2 149 323 598,22"",289.58,291.7,287.6,293.29,289.65"
"12/19/2023,MTLR ,91 633,""4 315 166 439,72"",291.41,296.61,287.28,296.78,288.95"
"12/18/2023,MTLR ,109 996,""5 320 415 660,03"",295.18,293,290.12,298.7,295.96"
"12/15/2023,MTLR ,119 490,""5 531 769 977,84"",283.04,275.22,275.15,290,285.9"
"12/14/2023,MTLR ,108 092,""5 451 106 865,92"",276.44,271.52,271.01,280.93,278.38"
"12/13/2023,MTLR ,73 738,""2 900 940 289,06"",270.05,270.54,266.27,273.9,269.8"
"12/12/2023,MTLR ,90 673,""4 167 884 111,84"",276.24,280.1,269,282,276.7"
"12/11/2023,MTLR ,108 477,""5 006 347 959,24"",276.25,277.9,272.3,282.31,279.19"
"12/08/2023,MTLR ,153 268,""7 958 759 571,03"",278.78,277,271.84,285.36,275"
"12/07/2023,MTLR ,162 389,""8 799 690 555,6"",270.18,269.07,261.93,279.6,275.52"
"12/06/2023,MTLR ,95 823,""5 246 923 392,56"",272.75,279.79,268.1,280.78,271.42"
"12/05/2023,MTLR ,107 920,""5 809 818 017,72"",281.34,284.64,275.95,288.46,278.8"
"12/04/2023,MTLR ,88 421,""4 799 381 835,66"",286.58,286.9,281.5,291.6,286.88"
"12/01/2023,MTLR ,103 397,""4 543 005 433,57"",290.1,293.84,285,295.14,287.31"
"11/30/2023,MTLR ,148 125,""7 426 681 427,4"",290.91,289.59,283.43,296,293.3"
"11/29/2023,MTLR ,174 624,""9 674 254 063,06"",295.43,304.94,286.43,305.1,294.22"
"11/28/2023,MTLR ,223 572,""14 699 009 790,6"",291.46,290.5,280,304.29,303.32"
"11/27/2023,MTLR ,181 029,""10 837 626 588,94"",298.71,309.5,291.55,309.94,296.9"
"11/24/2023,MTLR ,131 698,""6 645 051 783,34"",308.85,313.64,305.29,314.99,308.85"
"11/23/2023,MTLR ,198 486,""11 828 805 774,82"",314.34,313.6,307.6,319.8,313.41"
"11/22/2023,MTLR ,380 181,""20 227 118 899,42"",322.6,327.55,310.28,335.64,316.03"
"11/21/2023,MTLR ,255 526,""16 693 609 041,02"",317.31,315.01,305.6,329,327.5"
"11/20/2023,MTLR ,196 692,""11 215 593 953,28"",321.41,327.85,314.02,331.29,316.4"
"11/17/2023,MTLR ,208 339,""15 429 010 779,49"",330.25,330,325,336.7,"
"12/14/2023,MTLR ,108 092,""5 451 106 865,92"",276.44,271.52,271.01,280.93,278.38"
"12/13/2023,MTLR ,73 738,""2 900 940 289,06"",270.05,270.54,266.27,273.9,269.8"
"12/12/2023,MTLR ,90 673,""4 167 884 111,84"",276.24,280.1,269,282,276.7"
"12/11/2023,MTLR ,108 477,""5 006 347 959,24"",276.25,277.9,272.3,282.31,279.19"
"12/08/2023,MTLR ,153 268,""7 958 759 571,03"",278.78,277,271.84,285.36,275"
"12/07/2023,MTLR ,162 389,""8 799 690 555,6"",270.18,269.07,261.93,279.6,275.52"
"12/06/2023,MTLR ,95 823,""5 246 923 392,56"",272.75,279.79,268.1,280.78,271.42"
"12/05/2023,MTLR ,107 920,""5 809 818 017,72"",281.34,284.64,275.95,288.46,278.8"
"12/04/2023,MTLR ,88 421,""4 799 381 835,66"",286.58,286.9,281.5,291.6,286.88"
"12/01/2023,MTLR ,103 397,""4 543 005 433,57"",290.1,293.84,285,295.14,287.31"
"11/30/2023,MTLR ,148 125,""7 426 681 427,4"",290.91,289.59,283.43,296,293.3"
"11/29/2023,MTLR ,174 624,""9 674 254 063,06"",295.43,304.94,286.43,305.1,294.22"
"11/28/2023,MTLR ,223 572,""14 699 009 790,6"",291.46,290.5,280,304.29,303.32"
"11/27/2023,MTLR ,181 029,""10 837 626 588,94"",298.71,309.5,291.55,309.94,296.9"
"11/24/2023,MTLR ,131 698,""6 645 051 783,34"",308.85,313.64,305.29,314.99,308.85"
"11/23/2023,MTLR ,198 486,""11 828 805 774,82"",314.34,313.6,307.6,319.8,313.41"
"11/22/2023,MTLR ,380 181,""20 227 118 899,42"",322.6,327.55,310.28,335.64,316.03"
"11/21/2023,MTLR ,255 526,""16 693 609 041,02"",317.31,315.01,305.6,329,327.5"
"11/20/2023,MTLR ,196 692,""11 215 593 953,28"",321.41,327.85,314.02,331.29,316.4"
"11/17/2023,MTLR ,208 339,""15 429 010 779,49"",330.25,330,325,336.7,326.55"
"10/19/2023,MTLR ,187 200,""9 135 389 596,53"",255.15,245.09,243.61,261.34,259.25"
"10/18/2023,MTLR ,84 008,""3 401 804 471,34"",241.27,237.2,234.6,246.88,245"
"10/17/2023,MTLR ,57 151,""1 804 085 476,85"",236.16,236.9,233.07,239.15,237.54"
"10/16/2023,MTLR ,62 655,""2 079 932 506,52"",239.1,238.1,236.02,241.72,238.4"
"10/13/2023,MTLR ,88 018,""2 478 899 299,87"",235.76,232.5,232.27,237.94,236.5"
"10/12/2023,MTLR ,56 126,""1 695 176 088,13"",230.61,225.55,223.99,233.98,232.44"
"10/11/2023,MTLR ,84 882,""2 893 772 479,99"",233.22,233.26,225.6,237.81,234.1"
"10/10/2023,MTLR ,87 110,""3 055 904 808,23"",228.28,222.02,218.76,234.89,233.1"
"10/09/2023,MTLR ,52 074,""1 271 449 399,16"",223.07,223,220.48,225.13,221.74"
"10/06/2023,MTLR ,62 797,""1 863 885 620,18"",220.05,217.1,216.41,222.96,221.44"
"10/05/2023,MTLR ,58 555,""1 688 766 015,27"",216.37,216.11,213.25,218.53,218.3"
"10/04/2023,MTLR ,93 440,""2 577 734 263,82"",213.78,209.2,209.2,217.3,215.05"
"10/03/2023,MTLR ,47 760,""1 383 853 981,33"",207.43,206.01,203.2,209.34,206.75"
"10/02/2023,MTLR ,34 228,""856 891 837,53"",205.55,203.7,202.62,207.18,204.86"
"09/29/2023,MTLR ,23 579,""622 437 712,73"",203.79,205.9,199.6,206.64,203.7"
"09/28/2023,MTLR ,25 779,""711 340 509,33"",204.69,203.8,202.37,208,204.05"
"09/27/2023,MTLR ,24 707,""535 008 482,24"",203.86,204.99,201.87,205.7,203.69"
"09/26/2023,MTLR ,35 194,""908 359 391,95"",202.15,203,199.19,205.66,204.48"
"09/25/2023,MTLR ,64 978,""2 078 877 209,02"",205.37,205,202.2,209.6,204.4"
"09/22/2023,MTLR ,64 421,""2 308 183 385,48"",202.23,198.1,196,204.9,"
"10/19/2023,MTLR ,187 200,""9 135 389 596,53"",255.15,245.09,243.61,261.34,259.25"
"10/18/2023,MTLR ,84 008,""3 401 804 471,34"",241.27,237.2,234.6,246.88,245"
"10/17/2023,MTLR ,57 151,""1 804 085 476,85"",236.16,236.9,233.07,239.15,237.54"
"10/16/2023,MTLR ,62 655,""2 079 932 506,52"",239.1,238.1,236.02,241.72,238.4"
"10/13/2023,MTLR ,88 018,""2 478 899 299,87"",235.76,232.5,232.27,237.94,236.5"
"10/12/2023,MTLR ,56 126,""1 695 176 088,13"",230.61,225.55,223.99,233.98,232.44"
"10/11/2023,MTLR ,84 882,""2 893 772 479,99"",233.22,233.26,225.6,237.81,234.1"
"10/10/2023,MTLR ,87 110,""3 055 904 808,23"",228.28,222.02,218.76,234.89,233.1"
"10/09/2023,MTLR ,52 074,""1 271 449 399,16"",223.07,223,220.48,225.13,221.74"
"10/06/2023,MTLR ,62 797,""1 863 885 620,18"",220.05,217.1,216.41,222.96,221.44"
"10/05/2023,MTLR ,58 555,""1 688 766 015,27"",216.37,216.11,213.25,218.53,218.3"
"10/04/2023,MTLR ,93 440,""2 577 734 263,82"",213.78,209.2,209.2,217.3,215.05"
"10/03/2023,MTLR ,47 760,""1 383 853 981,33"",207.43,206.01,203.2,209.34,206.75"
"10/02/2023,MTLR ,34 228,""856 891 837,53"",205.55,203.7,202.62,207.18,204.86"
"09/29/2023,MTLR ,23 579,""622 437 712,73"",203.79,205.9,199.6,206.64,203.7"
"09/28/2023,MTLR ,25 779,""711 340 509,33"",204.69,203.8,202.37,208,204.05"
"09/27/2023,MTLR ,24 707,""535 008 482,24"",203.86,204.99,201.87,205.7,203.69"
"09/26/2023,MTLR ,35 194,""908 359 391,95"",202.15,203,199.19,205.66,204.48"
"09/25/2023,MTLR ,64 978,""2 078 877 209,02"",205.37,205,202.2,209.6,204.4"
"09/22/2023,MTLR ,64 421,""2 308 183 385,48"",202.23,198.1,196,204.9,204.9"
"09/21/2023,MTLR ,53 759,""1 563 179 958,56"",198.71,197.96,195,201.29,199"
"09/20/2023,MTLR ,65 157,""2 279 282 256,4"",197.14,194.9,192.05,202,201.2"
"09/19/2023,MTLR ,60 596,""2 106 513 351,49"",195.19,193.8,191.55,199.69,195.5"
"09/18/2023,MTLR ,32 652,""845 601 806,54"",194.21,196.25,192,198.31,193.56"
"09/15/2023,MTLR ,36 503,""959 593 879,64"",193.46,190.5,190.49,196.4,195"
"09/14/2023,MTLR ,52 009,""1 502 205 215,63"",189.38,193.3,185.5,193.8,192.6"
"09/13/2023,MTLR ,39 097,""904 969 939,04"",195.41,198.94,192,198.94,194.43"
"09/12/2023,MTLR ,38 931,""1 006 918 776,48"",195.33,192.9,192.2,198.69,195.97"
"09/11/2023,MTLR ,58 484,""1 319 470 761,27"",192.99,196.02,190.84,197.23,192.19"
"09/08/2023,MTLR ,47 076,""1 133 339 766,28"",196.06,199.2,193.84,200.6,196"
"09/07/2023,MTLR ,62 932,""1 440 744 550,7"",200.53,204,197.28,204.45,199.5"
"09/06/2023,MTLR ,100 861,""996 803 947,19"",202.94,204.89,201.1,205.3,203.96"
"09/05/2023,MTLR ,40 641,""1 192 884 092,28"",204.75,207.39,203.09,207.79,204.25"
"09/04/2023,MTLR ,38 447,""977 441 212,41"",207.18,206.31,206.3,208.66,206.8"
"09/01/2023,MTLR ,31 556,""780 613 820,81"",204.87,206.63,203.2,206.92,205.33"
"08/31/2023,MTLR ,58 390,""1 634 424 930,68"",204.78,203,201.18,207.98,207.13"
"08/30/2023,MTLR ,108 927,""3 570 817 756,41"",203.89,210.11,200.66,210.49,201.88"
"08/29/2023,MTLR ,94 880,""3 351 912 096,35"",212.64,219,208.07,219.48,209.3"
"08/28/2023,MTLR ,56 613,""1 700 915 768,48"",215.55,211,211,218.9,218.52"
"08/25/2023,MTLR ,44 182,""1 000 060 018,14"",209.93,212.1,208.82,212.64,210.12"
